beta,prob_minimo_1,prob_minimo_2,prob_total
0.01,0.03689800000000014,0.03708000000000014,0.07397800000000028
0.11045226130653266,0.03703100000000012,0.05628000000000011,0.09331100000000023
0.21090452261306533,0.05884900000000022,0.05827400000000015,0.11712300000000037
0.311356783919598,0.08345400000000025,0.062533,0.14598700000000026
0.41180904522613065,0.09237199999999982,0.07009699999999999,0.1624689999999998
0.5122613065326633,0.100221,0.098856,0.199077
0.612713567839196,0.10684499999999988,0.10911599999999999,0.21596099999999988
0.7131658291457287,0.11510199999999986,0.11645299999999974,0.2315549999999996
0.8136180904522613,0.12171799999999956,0.14907199999999945,0.27078999999999903
0.9140703517587939,0.1268850000000002,0.157746,0.2846310000000002
1.0145226130653267,0.13274499999999967,0.13494799999999965,0.2676929999999993
1.1149748743718593,0.17197300000000018,0.137763,0.3097360000000002
1.215427135678392,0.143195,0.145722,0.288917
1.3158793969849245,0.18387200000000078,0.15022600000000075,0.33409800000000156
1.4163316582914574,0.1524609999999996,0.1531049999999996,0.3055659999999992
1.51678391959799,0.192562,0.192823,0.385385
1.6172361809045226,0.19885099999999942,0.16411499999999957,0.362965999999999
1.7176884422110552,0.16536899999999954,0.20078399999999955,0.36615299999999906
1.8181407035175878,0.20465899999999915,0.20730899999999913,0.4119679999999983
1.9185929648241207,0.2082000000000009,0.20789400000000088,0.4160940000000018
2.019045226130653,0.1774599999999995,0.21700799999999956,0.39446799999999904
2.1194974874371857,0.2227079999999998,0.22252699999999997,0.44523499999999977
2.2199497487437183,0.2161549999999995,0.21819799999999956,0.43435299999999905
2.320402010050251,0.22454999999999947,0.22580799999999926,0.4503579999999987
2.4208542713567835,0.23183500000000054,0.2303200000000005,0.46215500000000104
2.521306532663316,0.23246399999999975,0.22984599999999925,0.462309999999999
2.621758793969849,0.23156899999999947,0.2338669999999995,0.46543599999999896
2.722211055276382,0.23993900000000024,0.2424540000000005,0.48239300000000074
2.8226633165829145,0.23942799999999997,0.23878800000000022,0.4782160000000002
2.923115577889447,0.24508699999999947,0.24372099999999944,0.4888079999999989
3.0235678391959797,0.2463860000000003,0.24712000000000003,0.49350600000000033
3.1240201005025123,0.24676600000000057,0.2498740000000006,0.4966400000000012
3.224472361809045,0.248433,0.252241,0.500674
3.3249246231155776,0.25487499999999935,0.2496619999999994,0.5045369999999988
3.42537688442211,0.25530499999999967,0.25936399999999943,0.5146689999999992
3.525829145728643,0.26290199999999997,0.257608,0.52051
3.6262814070351754,0.30178399999999944,0.2612829999999997,0.5630669999999991
3.726733668341708,0.2653689999999997,0.26421199999999967,0.5295809999999994
3.827185929648241,0.3078969999999999,0.26745800000000003,0.575355
3.9276381909547737,0.2676510000000006,0.2688670000000004,0.5365180000000009
4.028090452261306,0.311093,0.271799,0.582892
4.128542713567839,0.277889,0.3128589999999999,0.5907479999999998
4.228994974874372,0.27133600000000063,0.3218870000000011,0.5932230000000017
4.329447236180904,0.320811,0.276107,0.5969180000000001
4.429899497487437,0.31907999999999936,0.27631299999999964,0.595392999999999
4.5303517587939695,0.2784829999999996,0.27875599999999906,0.5572389999999987
4.630804020100502,0.32543300000000003,0.3220109999999994,0.6474439999999995
4.731256281407035,0.2858859999999993,0.32597599999999877,0.6118619999999981
4.831708542713567,0.3338790000000007,0.2863670000000006,0.6202460000000013
4.9321608040201,0.28885800000000034,0.2889809999999997,0.577839
5.0326130653266326,0.2917359999999993,0.29614699999999927,0.5878829999999986
5.133065326633165,0.29166299999999973,0.28820899999999966,0.5798719999999994
5.233517587939698,0.29364899999999966,0.33814599999999945,0.6317949999999991
5.33396984924623,0.33836499999999975,0.341737,0.6801019999999998
5.434422110552764,0.2937729999999996,0.33756999999999926,0.6313429999999989
5.5348743718592965,0.30197499999999966,0.3066179999999997,0.6085929999999994
5.635326633165829,0.3026599999999992,0.30374599999999896,0.6064059999999982
5.735778894472362,0.347747,0.301652,0.649399
5.836231155778894,0.348044,0.301051,0.649095
5.936683417085427,0.36004799999999926,0.35504999999999926,0.7150979999999985
6.03713567839196,0.3640549999999989,0.3224559999999989,0.6865109999999979
6.137587939698492,0.34663900000000003,0.3180629999999997,0.6647019999999997
6.238040201005025,0.32310300000000086,0.32349200000000083,0.6465950000000017
6.3384924623115575,0.3620410000000004,0.32121200000000083,0.6832530000000012
6.43894472361809,0.3582369999999997,0.31714899999999935,0.675385999999999
6.539396984924623,0.35697800000000074,0.31788300000000064,0.6748610000000014
6.639849246231155,0.36066199999999926,0.3635349999999992,0.7241969999999984
6.740301507537688,0.36266700000000046,0.31838500000000036,0.6810520000000009
6.840753768844221,0.31997100000000045,0.36585200000000073,0.6858230000000012
6.941206030150753,0.319272,0.32087,0.640142
7.041658291457286,0.3681400000000004,0.36615299999999995,0.7342930000000003
7.1421105527638185,0.3719940000000008,0.3703240000000014,0.7423180000000023
7.242562814070351,0.3719929999999993,0.3712119999999992,0.7432049999999986
7.343015075376884,0.33445100000000094,0.3764390000000014,0.7108900000000024
7.443467336683416,0.3724909999999997,0.3310889999999997,0.7035799999999994
7.54391959798995,0.33670699999999926,0.3757409999999992,0.7124479999999984
7.644371859296482,0.33361900000000083,0.3766210000000009,0.7102400000000018
7.744824120603015,0.37838300000000047,0.37328500000000076,0.7516680000000012
7.845276381909548,0.334534,0.3373250000000004,0.6718590000000004
7.94572864321608,0.38391700000000106,0.37983700000000076,0.7637540000000018
8.046180904522613,0.38669399999999987,0.38562199999999974,0.7723159999999996
8.146633165829146,0.3801350000000012,0.3384520000000009,0.7185870000000021
